collection,max_timestamp,utc_timestamp,subCommodityCode,subCommodityName,database_name,variations,object_id,changeStreamEvent
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98125,GREENS BULK,PROD_SB,,671a80248d26a628ef13f89c_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 225), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60007,APPLES HONEY CRISP ORGANIC,PROD_SB,,671a80248d26a628ef13f763_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 62), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60002,APPLES RED DELICIOUS ORGANIC(BULK & BAG),PROD_SB,,671a80248d26a628ef13f7b8_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 133), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60210,GRAPEFRUIT ORGANIC,PROD_SB,,671a80248d26a628ef13f955_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 262), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60210,GRAPEFRUIT ORGANIC,PROD_SB,,671a80248d26a628ef13f959_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 266), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60210,GRAPEFRUIT ORGANIC,PROD_SB,,671a80248d26a628ef13f95c_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 269), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526600,2024-11-13 13:36:40,98017,MANGO,PROD_SB,,671a80248d26a628ef13f865_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 173), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': 'false', 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60210,GRAPEFRUIT ORGANIC,PROD_SB,,671a80248d26a628ef13f954_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 261), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60920,AVOCADOS BULK,PROD_SB,,671a80248d26a628ef13f77b_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 83), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60602,PINEAPPLE WHOLE&PEEL/CORED ORGANIC,PROD_SB,,671a80248d26a628ef13f87f_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 197), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60404,RASPBERRIES ORGANICS,PROD_SB,,671a80248d26a628ef13f915_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 255), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60920,AVOCADOS BULK,PROD_SB,,671a80248d26a628ef13f77e_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 86), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60210,GRAPEFRUIT ORGANIC,PROD_SB,,671a80248d26a628ef13f958_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 265), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60210,GRAPEFRUIT ORGANIC,PROD_SB,,671a80248d26a628ef13f95d_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 270), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60018,APPLES OPAL,PROD_SB,,671a80248d26a628ef13f771_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 73), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60003,APPLES GOLDEN DELICIOUS ORGANIC (BULK & BAG),PROD_SB,,671a80248d26a628ef13f74b_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 44), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,59801,CABBAGE ORGANIC,PROD_SB,,671a80248d26a628ef13f88a_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 208), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98671,GRAPES WINE,PROD_SB,,671a80248d26a628ef13f971_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 277), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
